Path,Actual word,Kernel size,Sharpened
0.jpeg,BE,3,BE
1.jpeg,the,3,the
10.png,hours),3,hours)
100.png,mean,3,
1000.png,(ii),3,
1001.png,(d),3,
1002.png,out,3,
1003.png,exchange,3,exchange
1004.jpeg,there,3,there
1005.jpeg,you/,3,vyou/
1006.png,FOB,3,
1007.png,by,3,
1008.jpeg,little,3,
1009.png,School.,3,
101.png,data,3,
1010.png,Examine,3,examine
1011.png,Policy,3,
1012.jpeg,Drer,3,Drer
1013.png,of,3,
1014.jpeg,HIM,3,HIM
1015.png,for,3,for
1016.jpeg,{ doubled,3,{ doubled
1017.png,(2,3,
1018.png,the,3,
1019.jpeg,that,3,
102.png,Trade,3,
1020.jpeg,that,3,that
1021.png,center,3,
1022.jpeg,wisely,3,wisely
1023.png,in,3,in
1024.png,false,3,
1025.png,by,3,by
1026.jpeg,the,3,
1027.png,for,3,
1028.png,Con.,3,C‘on.
1029.png,OR,3,
103.png,1,3,
1030.png,an,3,
1031.jpeg,AHEAD,3,AHEAD
1032.png,price,3,B price
1033.png,?,3,
1034.jpeg,hour=,3,
1035.png,(b),3,
1036.jpeg,plays,3,plays
1037.jpeg,the,3,
1038.jpeg,and,3,and
1039.png, ,3,
104.jpeg,she>,3,she>
1040.jpeg,it,3,
1041.png,requirements,3,requirements
0.jpeg,BE,5,
1.jpeg,the,5,
10.png,hours),5,
100.png,mean,5,
1000.png,(ii),5,
1001.png,(d),5,
1002.png,out,5,
1003.png,exchange,5,Oe Vay
1004.jpeg,there,5,
1005.jpeg,you/,5,you/
1006.png,FOB,5,
1007.png,by,5,
1008.jpeg,little,5,
1009.png,School.,5,
101.png,data,5,
1010.png,Examine,5,
1011.png,Policy,5,Policy
1012.jpeg,Drer,5,
1013.png,of,5,
1014.jpeg,HIM,5,hiya
1015.png,for,5,for
1016.jpeg,{ doubled,5,
1017.png,(2,5,
1018.png,the,5,
1019.jpeg,that,5,"4

t"
102.png,Trade,5,iv aie
1020.jpeg,that,5,that
1021.png,center,5,CeHLCY
1022.jpeg,wisely,5,wisely
1023.png,in,5,n)
1024.png,false,5,
1025.png,by,5,by
1026.jpeg,the,5,
1027.png,for,5,
1028.png,Con.,5,Con.
1029.png,OR,5,
103.png,1,5,
1030.png,an,5,
1031.jpeg,AHEAD,5,
1032.png,price,5,Bonne
1033.png,?,5,
1034.jpeg,hour=,5,hour
1035.png,(b),5,
1036.jpeg,plays,5,plays
1037.jpeg,the,5,the
1038.jpeg,and,5,and
1039.png, ,5,
104.jpeg,she>,5,she>
1040.jpeg,it,5,
1041.png,requirements,5,requirements
Path,Actual word,Kernel size,Sharpened
0.jpeg,BE,3,BE
1.jpeg,the,3,the
10.png,hours),3,hours)
100.png,mean,3,
1000.png,(ii),3,
1001.png,(d),3,
1002.png,out,3,
1003.png,exchange,3,exchange
1004.jpeg,there,3,there
1005.jpeg,you/,3,vyou/
1006.png,FOB,3,
1007.png,by,3,
1008.jpeg,little,3,
1009.png,School.,3,
101.png,data,3,
1010.png,Examine,3,examine
1011.png,Policy,3,
1012.jpeg,Drer,3,Drer
1013.png,of,3,
1014.jpeg,HIM,3,HIM
1015.png,for,3,for
1016.jpeg,{ doubled,3,{ doubled
1017.png,(2,3,
1018.png,the,3,
1019.jpeg,that,3,
102.png,Trade,3,
1020.jpeg,that,3,that
1021.png,center,3,
1022.jpeg,wisely,3,wisely
1023.png,in,3,in
1024.png,false,3,
1025.png,by,3,by
1026.jpeg,the,3,
1027.png,for,3,
1028.png,Con.,3,C‘on.
1029.png,OR,3,
103.png,1,3,
1030.png,an,3,
1031.jpeg,AHEAD,3,AHEAD
1032.png,price,3,B price
1033.png,?,3,
1034.jpeg,hour=,3,
1035.png,(b),3,
1036.jpeg,plays,3,plays
1037.jpeg,the,3,
1038.jpeg,and,3,and
1039.png, ,3,
104.jpeg,she>,3,she>
1040.jpeg,it,3,
1041.png,requirements,3,requirements
0.jpeg,BE,5,
1.jpeg,the,5,
10.png,hours),5,
100.png,mean,5,
1000.png,(ii),5,
1001.png,(d),5,
1002.png,out,5,
1003.png,exchange,5,Oe Vay
1004.jpeg,there,5,
1005.jpeg,you/,5,you/
1006.png,FOB,5,
1007.png,by,5,
1008.jpeg,little,5,
1009.png,School.,5,
101.png,data,5,
1010.png,Examine,5,
1011.png,Policy,5,Policy
1012.jpeg,Drer,5,
1013.png,of,5,
1014.jpeg,HIM,5,hiya
1015.png,for,5,for
1016.jpeg,{ doubled,5,
1017.png,(2,5,
1018.png,the,5,
1019.jpeg,that,5,"4

t"
102.png,Trade,5,iv aie
1020.jpeg,that,5,that
1021.png,center,5,CeHLCY
1022.jpeg,wisely,5,wisely
1023.png,in,5,n)
1024.png,false,5,
1025.png,by,5,by
1026.jpeg,the,5,
1027.png,for,5,
1028.png,Con.,5,Con.
1029.png,OR,5,
103.png,1,5,
1030.png,an,5,
1031.jpeg,AHEAD,5,
1032.png,price,5,Bonne
1033.png,?,5,
1034.jpeg,hour=,5,hour
1035.png,(b),5,
1036.jpeg,plays,5,plays
1037.jpeg,the,5,the
1038.jpeg,and,5,and
1039.png, ,5,
104.jpeg,she>,5,she>
1040.jpeg,it,5,
1041.png,requirements,5,requirements
Path,Actual word,Kernel size,Sharpened
0.jpeg,BE,3,
1.jpeg,the,3,
10.png,hours),3,
100.png,mean,3,
1000.png,(ii),3,
1001.png,(d),3,
1002.png,out,3,
1003.png,exchange,3,
1004.jpeg,there,3,
1005.jpeg,you/,3,
1006.png,FOB,3,
1007.png,by,3,
1008.jpeg,little,3,
1009.png,School.,3,
101.png,data,3,
1010.png,Examine,3,
1011.png,Policy,3,
1012.jpeg,Drer,3,
1013.png,of,3,
1014.jpeg,HIM,3,
1015.png,for,3,
1016.jpeg,{ doubled,3,
1017.png,(2,3,
1018.png,the,3,
1019.jpeg,that,3,
102.png,Trade,3,
1020.jpeg,that,3,
1021.png,center,3,
1022.jpeg,wisely,3,
1023.png,in,3,
1024.png,false,3,
1025.png,by,3,
1026.jpeg,the,3,
1027.png,for,3,
1028.png,Con.,3,
1029.png,OR,3,
103.png,1,3,
1030.png,an,3,
1031.jpeg,AHEAD,3,
1032.png,price,3,
1033.png,?,3,
1034.jpeg,hour=,3,
1035.png,(b),3,
1036.jpeg,plays,3,
1037.jpeg,the,3,
1038.jpeg,and,3,
1039.png, ,3,
104.jpeg,she>,3,
1040.jpeg,it,3,
1041.png,requirements,3,
0.jpeg,BE,3,BE
1.jpeg,the,3,the
10.png,hours),3,hours)
100.png,mean,3,
1000.png,(ii),3,
1001.png,(d),3,
1002.png,out,3,
1003.png,exchange,3,exchange
1004.jpeg,there,3,there
1005.jpeg,you/,3,vyou/
1006.png,FOB,3,
1007.png,by,3,
1008.jpeg,little,3,
1009.png,School.,3,
101.png,data,3,
1010.png,Examine,3,examine
1011.png,Policy,3,
1012.jpeg,Drer,3,Drer
1013.png,of,3,
1014.jpeg,HIM,3,HIM
1015.png,for,3,for
1016.jpeg,{ doubled,3,{ doubled
1017.png,(2,3,
1018.png,the,3,
1019.jpeg,that,3,
102.png,Trade,3,
1020.jpeg,that,3,that
1021.png,center,3,
1022.jpeg,wisely,3,wisely
1023.png,in,3,in
1024.png,false,3,
1025.png,by,3,by
1026.jpeg,the,3,
1027.png,for,3,
1028.png,Con.,3,C‘on.
1029.png,OR,3,
103.png,1,3,
1030.png,an,3,
1031.jpeg,AHEAD,3,AHEAD
1032.png,price,3,B price
1033.png,?,3,
1034.jpeg,hour=,3,
1035.png,(b),3,
1036.jpeg,plays,3,plays
1037.jpeg,the,3,
1038.jpeg,and,3,and
1039.png, ,3,
104.jpeg,she>,3,she>
1040.jpeg,it,3,
1041.png,requirements,3,requirements
0.jpeg,BE,5,
1.jpeg,the,5,
10.png,hours),5,
100.png,mean,5,
1000.png,(ii),5,
1001.png,(d),5,
1002.png,out,5,
1003.png,exchange,5,
1004.jpeg,there,5,
1005.jpeg,you/,5,
1006.png,FOB,5,
1007.png,by,5,
1008.jpeg,little,5,
1009.png,School.,5,
101.png,data,5,
1010.png,Examine,5,
1011.png,Policy,5,
1012.jpeg,Drer,5,
1013.png,of,5,
1014.jpeg,HIM,5,
1015.png,for,5,
1016.jpeg,{ doubled,5,
1017.png,(2,5,
1018.png,the,5,
1019.jpeg,that,5,
102.png,Trade,5,
1020.jpeg,that,5,
1021.png,center,5,
1022.jpeg,wisely,5,
1023.png,in,5,
1024.png,false,5,
1025.png,by,5,
1026.jpeg,the,5,
1027.png,for,5,
1028.png,Con.,5,
1029.png,OR,5,
103.png,1,5,
1030.png,an,5,
1031.jpeg,AHEAD,5,
1032.png,price,5,
1033.png,?,5,
1034.jpeg,hour=,5,
1035.png,(b),5,
1036.jpeg,plays,5,
1037.jpeg,the,5,
1038.jpeg,and,5,
1039.png, ,5,
104.jpeg,she>,5,
1040.jpeg,it,5,
1041.png,requirements,5,
0.jpeg,BE,5,
1.jpeg,the,5,
10.png,hours),5,
100.png,mean,5,
1000.png,(ii),5,
1001.png,(d),5,
1002.png,out,5,
1003.png,exchange,5,Oe Vay
1004.jpeg,there,5,
1005.jpeg,you/,5,you/
1006.png,FOB,5,
1007.png,by,5,
1008.jpeg,little,5,
1009.png,School.,5,
101.png,data,5,
1010.png,Examine,5,
1011.png,Policy,5,Policy
1012.jpeg,Drer,5,
1013.png,of,5,
1014.jpeg,HIM,5,hiya
1015.png,for,5,for
1016.jpeg,{ doubled,5,
1017.png,(2,5,
1018.png,the,5,
1019.jpeg,that,5,"4

t"
102.png,Trade,5,iv aie
1020.jpeg,that,5,that
1021.png,center,5,CeHLCY
1022.jpeg,wisely,5,wisely
1023.png,in,5,n)
1024.png,false,5,
1025.png,by,5,by
1026.jpeg,the,5,
1027.png,for,5,
1028.png,Con.,5,Con.
1029.png,OR,5,
103.png,1,5,
1030.png,an,5,
1031.jpeg,AHEAD,5,
1032.png,price,5,Bonne
1033.png,?,5,
1034.jpeg,hour=,5,hour
1035.png,(b),5,
1036.jpeg,plays,5,plays
1037.jpeg,the,5,the
1038.jpeg,and,5,and
1039.png, ,5,
104.jpeg,she>,5,she>
1040.jpeg,it,5,
1041.png,requirements,5,requirements
Path,Actual word,Kernel size,Sharpened
0.jpeg,BE,3,
1.jpeg,the,3,the
10.png,hours),3,
100.png,mean,3,
1000.png,(ii),3,
1001.png,(d),3,
1002.png,out,3,
1003.png,exchange,3,exchange
1004.jpeg,there,3,there
1005.jpeg,you/,3,vou/
1006.png,FOB,3,
1007.png,by,3,
1008.jpeg,little,3,
1009.png,School.,3,
101.png,data,3,
1010.png,Examine,3,examine
1011.png,Policy,3,
1012.jpeg,Drer,3,Drer
1013.png,of,3,
1014.jpeg,HIM,3,
1015.png,for,3,for
1016.jpeg,{ doubled,3,{ doubled
1017.png,(2,3,
1018.png,the,3,
1019.jpeg,that,3,
102.png,Trade,3,
1020.jpeg,that,3,that
1021.png,center,3,
1022.jpeg,wisely,3,wisely
1023.png,in,3,1)
1024.png,false,3,
1025.png,by,3,by
1026.jpeg,the,3,the
1027.png,for,3,
1028.png,Con.,3,fon.
1029.png,OR,3,
103.png,1,3,
1030.png,an,3,
1031.jpeg,AHEAD,3,
1032.png,price,3,
1033.png,?,3,
1034.jpeg,hour=,3,hour
1035.png,(b),3,7e3:
1036.jpeg,plays,3,plays
1037.jpeg,the,3,the
1038.jpeg,and,3,and
1039.png, ,3,
104.jpeg,she>,3,she >
1040.jpeg,it,3,
1041.png,requirements,3,requirements
0.jpeg,BE,5,
1.jpeg,the,5,
10.png,hours),5,
100.png,mean,5,
1000.png,(ii),5,"iy

Ci)"
1001.png,(d),5,
1002.png,out,5,"cay

coud
e"
1003.png,exchange,5,
1004.jpeg,there,5,
1005.jpeg,you/,5,
1006.png,FOB,5,
1007.png,by,5,
1008.jpeg,little,5,
1009.png,School.,5,
101.png,data,5,data
1010.png,Examine,5,
1011.png,Policy,5,
1012.jpeg,Drer,5,l)regy
1013.png,of,5,"pa

ae"
1014.jpeg,HIM,5,
1015.png,for,5,for
1016.jpeg,{ doubled,5,
1017.png,(2,5,
1018.png,the,5,
1019.jpeg,that,5,
102.png,Trade,5,
1020.jpeg,that,5,
1021.png,center,5,
1022.jpeg,wisely,5,
1023.png,in,5,1
1024.png,false,5,false
1025.png,by,5,
1026.jpeg,the,5,
1027.png,for,5,
1028.png,Con.,5,“ON.
1029.png,OR,5,
103.png,1,5,
1030.png,an,5,
1031.jpeg,AHEAD,5,
1032.png,price,5,
1033.png,?,5,
1034.jpeg,hour=,5,hour=
1035.png,(b),5,
1036.jpeg,plays,5,
1037.jpeg,the,5,
1038.jpeg,and,5,and
1039.png, ,5,"~~

 

ae he

ae ee od"
104.jpeg,she>,5,
1040.jpeg,it,5,
1041.png,requirements,5,requirements
Path,Actual word,Kernel size,Sharpened
0.jpeg,BE,3,
1.jpeg,the,3,thre
10.png,hours),3,hours)
100.png,mean,3,
1000.png,(ii),3,
1001.png,(d),3,
1002.png,out,3,
1003.png,exchange,3,exchange
1004.jpeg,there,3,there
1005.jpeg,you/,3,
1006.png,FOB,3,(3
1007.png,by,3,
1008.jpeg,little,3,ifthe
1009.png,School.,3,
101.png,data,3,
1010.png,Examine,3,cxamine
1011.png,Policy,3,
1012.jpeg,Drer,3,Drer
1013.png,of,3,
1014.jpeg,HIM,3,
1015.png,for,3,for
1016.jpeg,{ doubled,3,f doubled
1017.png,(2,3,
1018.png,the,3,
1019.jpeg,that,3,
102.png,Trade,3,
1020.jpeg,that,3,
1021.png,center,3,center
1022.jpeg,wisely,3,
1023.png,in,3,In
1024.png,false,3,talse
1025.png,by,3,
1026.jpeg,the,3,
1027.png,for,3,for
1028.png,Con.,3,fon.
1029.png,OR,3,
103.png,1,3,
1030.png,an,3,
1031.jpeg,AHEAD,3,
1032.png,price,3,B price
1033.png,?,3,
1034.jpeg,hour=,3,hourz=
1035.png,(b),3,
1036.jpeg,plays,3,
1037.jpeg,the,3,
1038.jpeg,and,3,and
1039.png, ,3,
104.jpeg,she>,3,
1040.jpeg,it,3,
1041.png,requirements,3,requirements
0.jpeg,BE,5,
1.jpeg,the,5,
10.png,hours),5,
100.png,mean,5,
1000.png,(ii),5,
1001.png,(d),5,
1002.png,out,5,
1003.png,exchange,5,
1004.jpeg,there,5,
1005.jpeg,you/,5,
1006.png,FOB,5,
1007.png,by,5,
1008.jpeg,little,5,
1009.png,School.,5,
101.png,data,5,
1010.png,Examine,5,
1011.png,Policy,5,
1012.jpeg,Drer,5,Joyo
1013.png,of,5,
1014.jpeg,HIM,5,
1015.png,for,5,for
1016.jpeg,{ doubled,5,
1017.png,(2,5,
1018.png,the,5,
1019.jpeg,that,5,
102.png,Trade,5,
1020.jpeg,that,5,
1021.png,center,5,
1022.jpeg,wisely,5,
1023.png,in,5,
1024.png,false,5,
1025.png,by,5,
1026.jpeg,the,5,
1027.png,for,5,
1028.png,Con.,5,
1029.png,OR,5,"oN 2

Na"
103.png,1,5,
1030.png,an,5,
1031.jpeg,AHEAD,5,
1032.png,price,5,
1033.png,?,5,
1034.jpeg,hour=,5,brvviqy
1035.png,(b),5,
1036.jpeg,plays,5,
1037.jpeg,the,5,
1038.jpeg,and,5,and
1039.png, ,5,
104.jpeg,she>,5,
1040.jpeg,it,5,
1041.png,requirements,5,reguremens
Path,Actual word,Kernel size,Sharpened
0.jpeg,BE,3,BE
1.jpeg,the,3,the
10.png,hours),3,hours)
100.png,mean,3,
1000.png,(ii),3,
1001.png,(d),3,
1002.png,out,3,
1003.png,exchange,3,exchange
1004.jpeg,there,3,there
1005.jpeg,you/,3,vyou/
1006.png,FOB,3,
1007.png,by,3,
1008.jpeg,little,3,
1009.png,School.,3,
101.png,data,3,
1010.png,Examine,3,examine
1011.png,Policy,3,
1012.jpeg,Drer,3,Drer
1013.png,of,3,
1014.jpeg,HIM,3,HIM
1015.png,for,3,for
1016.jpeg,{ doubled,3,{ doubled
1017.png,(2,3,
1018.png,the,3,
1019.jpeg,that,3,
102.png,Trade,3,
1020.jpeg,that,3,that
1021.png,center,3,
1022.jpeg,wisely,3,wisely
1023.png,in,3,in
1024.png,false,3,
1025.png,by,3,by
1026.jpeg,the,3,
1027.png,for,3,
1028.png,Con.,3,C‘on.
1029.png,OR,3,
103.png,1,3,
1030.png,an,3,
1031.jpeg,AHEAD,3,AHEAD
1032.png,price,3,B price
1033.png,?,3,
1034.jpeg,hour=,3,
1035.png,(b),3,
1036.jpeg,plays,3,plays
1037.jpeg,the,3,
1038.jpeg,and,3,and
1039.png, ,3,
104.jpeg,she>,3,she>
1040.jpeg,it,3,
1041.png,requirements,3,requirements
0.jpeg,BE,5,
1.jpeg,the,5,
10.png,hours),5,
100.png,mean,5,
1000.png,(ii),5,
1001.png,(d),5,
1002.png,out,5,
1003.png,exchange,5,Oe Vay
1004.jpeg,there,5,
1005.jpeg,you/,5,you/
1006.png,FOB,5,
1007.png,by,5,
1008.jpeg,little,5,
1009.png,School.,5,
101.png,data,5,
1010.png,Examine,5,
1011.png,Policy,5,Policy
1012.jpeg,Drer,5,
1013.png,of,5,
1014.jpeg,HIM,5,hiya
1015.png,for,5,for
1016.jpeg,{ doubled,5,
1017.png,(2,5,
1018.png,the,5,
1019.jpeg,that,5,"4

t"
102.png,Trade,5,iv aie
1020.jpeg,that,5,that
1021.png,center,5,CeHLCY
1022.jpeg,wisely,5,wisely
1023.png,in,5,n)
1024.png,false,5,
1025.png,by,5,by
1026.jpeg,the,5,
1027.png,for,5,
1028.png,Con.,5,Con.
1029.png,OR,5,
103.png,1,5,
1030.png,an,5,
1031.jpeg,AHEAD,5,
1032.png,price,5,Bonne
1033.png,?,5,
1034.jpeg,hour=,5,hour
1035.png,(b),5,
1036.jpeg,plays,5,plays
1037.jpeg,the,5,the
1038.jpeg,and,5,and
1039.png, ,5,
104.jpeg,she>,5,she>
1040.jpeg,it,5,
1041.png,requirements,5,requirements
